,nm_category,nm_brand,nm_model,nm_version,ethanol_city_efficiency,ethanol_road_efficiency,gasoline_city_efficiency,gasoline_road_efficiency
264,Picape Compacta,Renault,Oroch,Pro 16,7.6,8.1,11.3,11.7
265,Picape Compacta,Volkswagen,Saveiro,"Saveiro Cabine Simples 
Robust Mf",7.7,8.8,11.2,12.9
266,Picape Compacta,Volkswagen,Saveiro,"Cabine Simples 
Trendline Mf",7.7,8.8,11.2,12.9
267,Picape Compacta,Volkswagen,Saveiro,Cabine Dupla Robust Mf,7.9,8.7,11.3,12.4
268,Picape Compacta,Volkswagen,Saveiro,"Cabine Dupla Extreme 
Mf",7.9,8.7,11.3,12.4
269,Picape,Fiat,Toro,Endur T270 At6,6.9,8.0,9.9,11.5
270,Picape,Fiat,Toro,Freed T270 At6,6.5,7.8,9.4,10.8
271,Picape,Fiat,Toro,Volc T270 At6,6.5,7.8,9.4,10.8
272,Picape,Fiat,Toro,Ultra T270 At6,6.5,7.8,9.4,10.8
273,Picape,Fiat,Toro,Endur T270 At (My26),,,,
274,Picape,Fiat,Toro,Freed T270 At (My26),6.5,7.8,9.4,10.8
275,Picape,Fiat,Toro,Volc T270 At (My26),6.5,7.8,9.4,10.8
276,Picape,Fiat,Toro,Ultra T270 At (My26),6.5,7.8,9.4,10.8
